,city_state,pop
466,"Bethlehem, PA","75,815"
467,"Wyoming, MI","75,667"
468,"Hammond, IN","75,522"
469,"Missoula, MT","75,516"
470,"Missouri City, TX","75,457"
471,"Pasco, WA","75,432"
472,"Baldwin Park, CA","75,251"
473,"Iowa City, IA","75,130"
474,"Rancho Cordova, CA","75,087"
475,"Rock Hill, SC","75,048"
476,"Flagstaff, AZ","75,038"
477,"Gary, IN","74,879"
478,"St. Joseph, MO","74,875"
479,"Arlington Heights village, IL","74,760"
480,"Bolingbrook village, IL","74,545"
481,"Rochester Hills, MI","74,516"
482,"Framingham, MA","74,416"
483,"Union City, CA","74,107"
484,"Appleton, WI","74,098"
485,"Turlock, CA","73,631"
486,"Camden, NJ","73,562"
487,"Bismarck, ND","73,529"
488,"Evanston, IL","73,473"
489,"Apple Valley town, CA","73,453"
490,"Schaumburg village, IL","72,887"
491,"Woodbury, MN","72,828"
492,"Kissimmee, FL","72,717"
493,"Southfield, MI","72,689"
494,"Maple Grove, MN","72,622"
495,"Pittsburg, CA","72,588"
496,"New Britain, CT","72,495"
497,"Jacksonville, NC","72,436"
498,"Mansfield, TX","72,419"
499,"Waukesha, WI","72,299"
500,"Frederick, MD","72,244"
501,"Albany, GA","72,130"
502,"Pawtucket, RI","72,117"
503,"Redmond, WA","71,929"
504,"Lauderhill, FL","71,868"
505,"Lafayette, IN","71,721"
506,"Gulfport, MS","71,705"
507,"Redlands, CA","71,513"
508,"Weston, FL","71,166"
509,"St. Charles, MO","71,028"
510,"Decatur, IL","70,746"
511,"North Port, FL","70,724"
512,"North Richland Hills, TX","70,670"
513,"Greenville, SC","70,635"
514,"Bowling Green, KY","70,543"
515,"Broomfield, CO","70,465"
516,"Canton, OH","70,447"
517,"Marysville, WA","70,298"
518,"Walnut Creek, CA","70,166"
519,"Wilmington, DE","70,166"
520,"Camarillo, CA","69,888"
521,"Lynwood, CA","69,887"
522,"Lehi, UT","69,724"
523,"Passaic, NJ","69,703"
524,"Homestead, FL","69,523"
525,"Delray Beach, FL","69,451"
526,"Davis, CA","69,413"
527,"Lake Elsinore, CA","69,283"
528,"Daytona Beach, FL","69,186"
529,"Dothan, AL","68,941"
530,"Rocklin, CA","68,823"
531,"Eau Claire, WI","68,802"
532,"Rogers, AR","68,669"
533,"Castle Rock town, CO","68,484"
534,"St. Cloud, MN","68,462"
535,"Bossier City, LA","68,159"
536,"Rockville, MD","68,079"
537,"Muncie, IN","67,999"
538,"Gaithersburg, MD","67,985"
539,"Union City, NJ","67,982"
540,"West Des Moines, IA","67,899"
541,"South San Francisco, CA","67,789"
542,"Yorba Linda, CA","67,644"
543,"Conway, AR","67,638"
544,"Lodi, CA","67,586"
545,"Palatine village, IL","67,482"
546,"Ankeny, IA","67,355"
547,"Mount Vernon, NY","67,345"
548,"Rowlett, TX","67,339"
549,"Waterloo, IA","67,328"
550,"Lakeville, MN","67,317"
551,"Alpharetta, GA","67,213"
552,"Jackson, TN","67,191"
553,"Yuba City, CA","67,010"
554,"Oshkosh, WI","67,004"
555,"Victoria, TX","66,916"
556,"Johnson City, TN","66,906"
557,"Redondo Beach, CA","66,749"
558,"Tamarac, FL","66,721"
559,"Laguna Niguel, CA","66,385"
560,"Eagan, MN","66,372"
561,"Kenner, LA","66,340"
562,"Auburn, AL","66,259"
563,"Ames, IA","66,258"
564,"Portland, ME","66,215"
565,"North Little Rock, AR","65,903"
566,"Sammamish, WA","65,892"
567,"Madera, CA","65,860"
568,"Shawnee, KS","65,807"
569,"Jupiter town, FL","65,791"
570,"Doral, FL","65,741"
571,"Blaine, MN","65,607"
572,"Tulare, CA","65,496"
573,"Youngstown, OH","65,469"
574,"Wellington village, FL","65,398"
575,"Pflugerville, TX","65,380"
576,"Palo Alto, CA","65,364"
577,"Schenectady, NY","65,273"
578,"Harlingen, TX","65,022"
579,"Bayonne, NJ","64,897"
580,"Eden Prairie, MN","64,893"
581,"Port Orange, FL","64,842"
582,"Dublin, CA","64,826"
583,"San Marcos, TX","64,776"
584,"Noblesville, IN","64,668"
585,"Santa Cruz, CA","64,608"
586,"Janesville, WI","64,575"
587,"San Clemente, CA","64,558"
588,"Brentwood, CA","64,474"
589,"East Orange, NJ","64,367"
590,"Cheyenne, WY","64,235"
591,"Eastvale, CA","64,157"
592,"Chapel Hill town, NC","64,051"
593,"Haverhill, MA","64,014"
594,"Lorain, OH","63,855"
595,"Grand Junction, CO","63,597"
596,"Springfield, OR","63,230"
597,"Coon Rapids, MN","62,998"
598,"Idaho Falls, ID","62,888"
599,"North Miami, FL","62,822"
600,"Encinitas, CA","62,709"
601,"Skokie village, IL","62,700"
602,"Leander, TX","62,608"
603,"Waltham, MA","62,495"
604,"Council Bluffs, IA","62,166"
605,"Hamilton, OH","62,082"
606,"Moore, OK","62,055"
607,"Pico Rivera, CA","62,027"
608,"Montebello, CA","61,954"
609,"Millcreek, UT","61,450"
610,"Sanford, FL","61,448"
611,"National City, CA","61,394"
612,"Burnsville, MN","61,339"
613,"Coconut Creek, FL","61,248"
614,"Lakewood, WA","61,037"
615,"Taylor, MI","60,922"
616,"Novi, MI","60,896"
617,"Marietta, GA","60,867"
618,"Ocala, FL","60,786"
619,"Terre Haute, IN","60,622"
620,"Woodland, CA","60,548"
621,"Petaluma, CA","60,520"
622,"La Habra, CA","60,513"
